Distance (ft),Raw RSSI Median,Range of RSSI,Mean
1,-59,"(-60, -57)",-58.73
2,-66,"(-70, -63)",-66.47
3,-69,"(-74, -67)",-69.27
4,-72,"(-73, -70)",-71.57
5,-73,"(-75, -71)",-72.95
6,-79,"(-81, -75)",-78.58
7,-72,"(-75, -70)",-71.77
8,-79,"(-81, -77)",-79.03
9,-75,"(-76, -74)",-75
10,-76,"(-81, -75)",-77.2
11,-81.5,"(-84, -79)",-81.4
12,-77,"(-79, -76)",-77.25
13,-82,"(-83, -78)",-81.15
14,-76,"(-79, -75)",-75.76
15,-79,"(-80, -77)",-78.91
16,-81,"(-82, -78)",-80.92
17,-78,"(-80, -76)",-78.24
18,-77,"(-79, -75)",-76.89
19,-77,"(-78, -76)",-76.77
20,-73,"(-74, -73)",-73.02
