Distance (ft),Raw RSSI Median,Range of RSSI,Mean
1,-57.0,"(-58, -56)",-57.41
2,-74.0,"(-75, -72)",-73.92
3,-74.0,"(-77, -67)",-73.89
4,-78,"(-80, -73)",-77.84848484848484
5,-77,"(-77, -74)",-76.13131313131314
6,-77,"(-79, 127)",-75.28282828282828
7,-79.0,"(-81, -76)",-78.56
8,-79,"(-82, -78)",-79.51515151515152
9,-79.0,"(-80, -76)",-79.18
10,-79.0,"(-84, -78)",-79.6
11,-83.0,"(-85, -82)",-83.34
12,-85.0,"(-87, -84)",-85.23
13,-84,"(-85, 127)",-81.0909090909091
14,-81,"(-84, -79)",-81.33333333333333
15,-79.0,"(-80, -78)",-79.02
16,-81,"(-83, -80)",-81.35353535353535
17,-84.0,"(-87, -81)",-83.78
18,-86,"(-88, 127)",-83.5959595959596
19,-79.0,"(-83, -78)",-79.45
20,-80,"(-82, -78)",-79.68686868686869
