Distance (ft),Raw RSSI Median,Range of RSSI,Mean
1,-56.0,"(-56, -56)",-56.0
2,-68,"(-70, -61)",-67.06060606060606
3,-65.0,"(-68, -64)",-65.45
4,-72.0,"(-75, -69)",-72.31
5,-72.0,"(-75, -70)",-72.59
6,-77.0,"(-81, -66)",-75.61
7,-77.0,"(-79, -71)",-76.33
8,-75.0,"(-79, -72)",-74.74
9,-74.0,"(-78, -71)",-74.05
10,-79,"(-81, 127)",-77.0909090909091
11,-78.0,"(-80, -75)",-77.66
12,-74.0,"(-77, -72)",-74.4
13,-82.0,"(-84, -79)",-81.35
14,-83.0,"(-86, -78)",-83.16
15,-79,"(-82, -76)",-79.22222222222223
16,-80.0,"(-82, -79)",-80.36
17,-79.0,"(-83, -77)",-79.3
18,-80,"(-83, -78)",-80.11111111111111
19,-85.0,"(-87, -80)",-84.34
20,-80.0,"(-83, -78)",-80.3
